star_id,ra,dec,pmra,epmra,pmdec,epmdec,plx,eplx,mz,ez,my,ey,mj,ej,mh,eh,mk,ek,probability,cluster
7124,246.681298665111,-49.1239490851365,2.17435455322266,0.0332514010369778,-4.26811552047729,0.0257603358477354,0.878690183162689,0.0300543922930956,,0.0183225581126125,,0.015608739806554,13.4888000488281,0.0152182277504494,13.1604995727539,0.0183225581126125,13.0492000579834,0.015036175578798,1,NGC_6134
7125,246.695285989666,-49.1338982010084,2.15483808517456,0.0567377060651779,-4.79025983810425,0.0425297543406487,0.907523691654205,0.0471931286156178,,0.019239208858707,,0.0162232477682271,14.2824001312256,0.0161659319073447,13.8779001235962,0.019239208858707,13.7281999588013,0.0163039899992585,1,NGC_6134
7126,246.700046752818,-49.1592207496052,2.21165251731873,0.0257403664290905,-4.6389856338501,0.0202262885868549,0.90726763010025,0.0232547670602798,,0.0189947029459714,,0.0155127242877259,12.6801996231079,0.0164649745616027,12.4337200450897,0.0189947029459714,12.2906999312976,0.014937842466956,1,NGC_6134
7127,246.782918559361,-49.0845637518094,1.96068036556244,0.0608622618019581,-4.45538854598999,0.0485461317002773,0.856344163417816,0.0547481626272202,,0.0193290481582862,,0.0161276119471248,14.3930997848511,0.0161699327548608,13.9362001419067,0.0193290481582862,13.8137998580933,0.0168148991056563,1,NGC_6134
7128,246.800051450111,-49.0762855673841,2.05942988395691,0.104431807994843,-4.37091875076294,0.0785677433013916,0.841097295284271,0.0924974903464317,,0.0214321191753052,,0.0187821247979387,15.1612997055054,0.0190070678027419,14.5924997329712,0.0214321191753052,14.4433002471924,0.0198838687823638,1,NGC_6134
7129,246.808088114291,-49.0821583366763,2.10341811180115,0.125990062952042,-4.61798000335693,0.0913450866937637,0.882015585899353,0.105079896748066,,0.022367404013148,,0.0194950732106068,15.3142004013062,0.0190600292659198,14.7076997756958,0.022367404013148,14.5593996047974,0.0205915872758992,1,NGC_6134
7130,246.772431787156,-49.1026470026862,1.73478996753693,0.0806598514318466,-4.43449926376343,0.0599312409758568,0.804510712623596,0.0651729702949524,,0.0192420479204926,19.8687000274658,0.0162318475587934,14.2700996398926,0.0161827227619863,13.736499786377,0.0192420479204926,13.6084995269775,0.0159816167495888,1,NGC_6134
7132,246.760400679133,-49.1055207115365,2.1264386177063,0.121465817093849,-4.46572113037109,0.0937419310212135,0.846916496753693,0.101093657314777,,0.0218913969017897,,0.0190793083705467,15.2272996902466,0.019147230399885,14.6288995742798,0.0218913969017897,14.4771995544434,0.0201629284603835,1,NGC_6134
7133,246.780333052496,-49.10844384342,1.96801972389221,0.148818418383598,-4.59421062469482,0.105619549751282,0.911981463432312,0.119832813739777,,0.0232030328342429,,0.0203448748589236,15.3563003540039,0.019351943247843,14.6861000061035,0.0232030328342429,14.5104999542236,0.0203768166171583,1,NGC_6134
7134,246.790595743507,-49.1214293761444,2.1557285785675,0.03244549036026,-4.60796117782593,0.0251513328403234,0.85075181722641,0.0283949375152588,,0.0183554160847243,,0.0151400922757243,13.3691997528076,0.0151542750278247,13.0015001296997,0.0183554160847243,12.9010000228882,0.0150093591113051,1,NGC_6134
